,DATEPRD,WELL_BORE_CODE,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
0,16-Jan-14,NO 15/9-F-15 D,241.771,104.899,185.9,19.06,8.66,55.87,16.9,27.97,351.05,52394.9,0.0
1,17-Jan-14,NO 15/9-F-15 D,213.852,106.29299999999999,162.21,19.87,9.47,51.64,22.36,22.35,485.34,72058.82,0.0
2,18-Jan-14,NO 15/9-F-15 D,206.615,106.375,157.93,27.81,9.69,48.69,22.23,19.86,513.12,77600.88,0.0
3,19-Jan-14,NO 15/9-F-15 D,203.075,106.39200000000001,156.51,25.72,9.73,46.57,20.96,18.04,497.55,72928.16,0.0
4,20-Jan-14,NO 15/9-F-15 D,203.981,106.31700000000001,157.11,12.03,9.4,46.87,21.19,18.36,469.59,67199.15,0.0
5,21-Jan-14,NO 15/9-F-15 D,201.56799999999998,106.335,155.71,11.71,9.58,45.86,22.55,17.35,479.09,68123.46,0.0
6,22-Jan-14,NO 15/9-F-15 D,199.666,106.34299999999999,154.67,11.24,9.54,45.0,22.47,16.5,495.13,69287.43,0.0
7,23-Jan-14,NO 15/9-F-15 D,200.192,106.29700000000001,155.06,8.77,9.41,45.14,23.34,16.59,430.23,60809.77,0.0
8,24-Jan-14,NO 15/9-F-15 D,200.638,106.26799999999999,155.43,7.2,9.4,45.2,22.78,16.69,409.09,58874.59,0.0
9,25-Jan-14,NO 15/9-F-15 D,200.993,106.24799999999999,155.75,6.39,9.36,45.25,26.75,16.71,443.84,65515.4,0.0
10,26-Jan-14,NO 15/9-F-15 D,200.489,106.257,155.47,9.76,9.38,45.02,24.84,16.49,360.8,51613.55,0.0
11,27-Jan-14,NO 15/9-F-15 D,200.176,106.26100000000001,155.34,11.61,9.4,44.84,20.16,16.26,362.03,49963.0,0.0
12,28-Jan-14,NO 15/9-F-15 D,201.553,106.213,156.32,10.43,9.35,45.24,21.59,16.7,377.77,54599.85,0.0
13,01-Feb-14,NO 15/9-F-15 D,200.39700000000002,106.32600000000001,155.17,11.13,4.17,45.23,21.42,15.86,356.46,54305.49,0.0
