,DATEPRD,WELL_BORE_CODE,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
0,13-Jul-08,NO 15/9-F-14 H,260.867,103.29299999999999,160.15,0.0,21.05,100.71,52.38,69.54,1735.26,252235.23,4.0
1,14-Jul-08,NO 15/9-F-14 H,256.248,104.01799999999999,156.65,0.0,27.22,99.6,71.12,68.02,592.36,88949.0,1.37
2,15-Jul-08,NO 15/9-F-14 H,254.983,103.96700000000001,156.33,0.0,27.28,98.65,67.59,66.95,2532.21,373786.28,5.84
3,16-Jul-08,NO 15/9-F-14 H,251.476,104.211,155.82,0.0,30.65,95.66,73.78,63.66,3030.71,447840.09,9.13
4,17-Jul-08,NO 15/9-F-14 H,249.34599999999998,104.339,155.76,0.0,32.56,93.59,78.04,61.34,3288.08,474614.43,7.58
5,22-Jul-08,NO 15/9-F-14 H,251.858,104.40700000000001,155.17,0.0,29.75,96.69,77.02,64.77,2717.44,399221.04,6.45
6,23-Jul-08,NO 15/9-F-14 H,251.915,104.43,155.18,0.0,29.67,96.73,77.14,64.77,2745.51,403771.0,6.38
7,24-Jul-08,NO 15/9-F-14 H,251.851,104.441,155.19,0.0,29.79,96.66,76.88,64.95,2762.59,413309.67,6.4
8,25-Jul-08,NO 15/9-F-14 H,251.87,104.459,155.58,0.0,29.72,96.29,71.98,64.82,2763.68,402430.02,6.43
9,26-Jul-08,NO 15/9-F-14 H,251.855,104.47200000000001,155.42,0.0,29.79,96.44,73.85,64.94,2759.3,404995.2,6.39
10,27-Jul-08,NO 15/9-F-14 H,251.915,104.469,155.42,0.0,29.78,96.5,74.99,65.01,2732.34,400145.03,6.28
11,28-Jul-08,NO 15/9-F-14 H,251.951,104.49600000000001,155.37,0.0,29.81,96.58,75.9,65.07,2762.74,405191.14,6.35
12,29-Jul-08,NO 15/9-F-14 H,252.58900000000003,104.49700000000001,155.28,0.0,28.81,97.31,75.37,65.84,2670.67,391242.72,8.82
13,02-Aug-08,NO 15/9-F-14 H,250.541,104.62,160.5,0.0,30.76,90.04,74.15,59.9,3057.91,449222.7,4.29
14,04-Aug-08,NO 15/9-F-14 H,250.179,104.55799999999999,155.99,0.0,32.19,94.19,76.06,62.48,3019.3,441240.45,4.54
15,05-Aug-08,NO 15/9-F-14 H,250.292,104.64399999999999,156.19,0.0,32.31,94.11,75.51,62.39,3135.89,457771.78,4.72
16,06-Aug-08,NO 15/9-F-14 H,251.12099999999998,104.63,156.14,0.0,29.15,94.99,77.05,63.3,911.43,134051.24,1.37
17,21-Aug-08,NO 15/9-F-14 H,237.672,104.728,154.7,0.0,36.32,82.98,78.76,50.39,2911.25,423611.98,5.54
18,23-Sep-08,NO 15/9-F-14 H,213.475,105.006,154.55,0.0,52.37,58.93,79.34,25.56,5290.92,753658.36,20.73
19,24-Sep-08,NO 15/9-F-14 H,211.80200000000002,105.021,153.95,0.0,53.29,57.86,80.58,24.49,5336.6,757018.34,7.49
20,25-Sep-08,NO 15/9-F-14 H,212.718,105.00299999999999,152.56,0.0,50.21,60.15,80.22,26.96,4880.31,733460.14,20.56
21,26-Sep-08,NO 15/9-F-14 H,209.007,105.025,153.31,0.0,55.55,55.69,80.32,22.28,5453.84,773865.6,29.58
22,28-Sep-08,NO 15/9-F-14 H,209.36,105.027,152.61,0.0,53.96,56.75,78.51,23.48,5156.66,736404.87,18.84
23,29-Sep-08,NO 15/9-F-14 H,207.532,105.03200000000001,152.63,0.0,55.81,54.9,78.7,21.53,5410.73,766070.77,10.11
24,06-Oct-08,NO 15/9-F-14 H,215.263,104.93799999999999,148.71,0.0,38.5,66.56,74.52,34.42,3485.34,484446.82,1.11
25,07-Oct-08,NO 15/9-F-14 H,212.017,104.979,148.5,0.0,43.3,63.52,75.38,30.85,4222.5,599591.35,2.58
26,29-Oct-08,NO 15/9-F-14 H,211.47299999999998,105.15700000000001,152.2,0.0,50.58,59.28,78.25,26.1,4793.27,688367.98,3.69
27,02-Nov-08,NO 15/9-F-14 H,218.989,104.999,151.86,0.0,38.06,67.13,73.57,34.48,3731.52,531070.72,2.34
28,09-Nov-08,NO 15/9-F-14 H,223.25799999999998,105.088,148.59,0.0,35.94,74.67,76.08,42.5,3502.6,497111.26,2.85
