,WELL_BORE_CODE,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,FLOW_KIND,WELL_TYPE
15,NO 15/9-F-1 C,289.42,106.35,43.34,107.36,37.94,78.94,631.47,90439.09,0.0,production,OP
16,NO 15/9-F-1 C,270.24,107.64,47.17,99.19,60.76,70.63,1166.46,165720.39,0.0,production,OP
17,NO 15/9-F-1 C,262.84,107.87,47.73,94.6,63.05,66.05,1549.81,221707.31,0.0,production,OP
18,NO 15/9-F-1 C,255.53,107.97,48.53,89.99,64.55,61.41,1248.7,178063.52,0.0,production,OP
19,NO 15/9-F-1 C,247.2,108.05,49.84,84.78,65.72,56.15,1345.78,192602.19,0.0,production,OP
20,NO 15/9-F-1 C,240.74,108.05,50.3,80.84,66.93,52.2,1349.56,194496.27,0.0,production,OP
21,NO 15/9-F-1 C,235.02,108.04,50.74,77.34,67.85,48.71,1345.61,192899.71,0.0,production,OP
22,NO 15/9-F-1 C,232.74,107.99,50.11,75.95,65.71,47.38,1279.46,184900.31,0.0,production,OP
23,NO 15/9-F-1 C,233.3,107.89,48.93,76.12,62.8,47.61,1225.62,177107.86,0.0,production,OP
24,NO 15/9-F-1 C,231.09,107.88,48.94,74.69,62.38,46.2,1212.9,174608.88,0.0,production,OP
25,NO 15/9-F-1 C,231.42,107.82,48.3,74.73,60.75,46.15,1074.04,154870.67,0.0,production,OP
26,NO 15/9-F-1 C,230.77,107.8,48.17,74.16,60.63,45.73,1044.17,147929.93,0.0,production,OP
27,NO 15/9-F-1 C,230.6,107.76,47.47,73.91,58.28,45.49,970.2,139378.45,0.0,production,OP
28,NO 15/9-F-1 C,229.42,107.78,47.84,72.99,54.9,44.55,946.12,136980.49,0.0,production,OP
29,NO 15/9-F-1 C,225.9,107.86,49.01,70.95,58.88,42.45,1002.83,144950.15,0.0,production,OP
30,NO 15/9-F-1 C,225.77,107.84,47.92,70.71,57.43,42.05,925.31,135000.24,0.0,production,OP
31,NO 15/9-F-1 C,225.69,107.82,47.3,70.55,57.66,41.16,913.86,127564.51,0.0,production,OP
32,NO 15/9-F-1 C,227.8,107.6,29.13,70.95,55.96,41.75,176.8,24322.7,0.0,production,OP
33,NO 15/9-F-1 C,226.06,107.68,48.13,70.9,57.37,41.9,944.19,52162.58,0.0,production,OP
34,NO 15/9-F-1 C,225.1,107.84,47.49,69.94,58.02,41.48,823.41,117731.72,0.0,production,OP
35,NO 15/9-F-1 C,226.02,107.77,46.93,70.23,56.89,41.81,769.01,111238.01,0.0,production,OP
36,NO 15/9-F-1 C,226.9,107.72,46.34,70.33,54.26,41.93,740.8,107144.4,0.0,production,OP
37,NO 15/9-F-1 C,225.58,107.74,45.16,69.37,55.0,40.98,713.24,102880.55,0.0,production,OP
38,NO 15/9-F-1 C,225.89,107.71,46.32,69.07,48.6,40.65,743.83,106745.44,0.0,production,OP
39,NO 15/9-F-1 C,225.7,107.71,46.35,68.59,48.38,40.14,736.09,104864.02,0.0,production,OP
40,NO 15/9-F-1 C,223.6,107.78,47.09,67.26,53.92,38.84,782.88,110078.32,0.0,production,OP
41,NO 15/9-F-1 C,220.1,107.89,47.77,65.41,53.83,36.99,834.68,117387.58,0.0,production,OP
42,NO 15/9-F-1 C,220.49,107.86,47.14,65.31,55.75,36.91,788.8,109517.37,0.0,production,OP
43,NO 15/9-F-1 C,220.15,107.86,47.14,64.92,55.63,36.51,783.06,109362.2,0.0,production,OP
44,NO 15/9-F-1 C,220.07,107.85,46.52,64.69,52.24,36.28,743.77,104993.12,0.0,production,OP
45,NO 15/9-F-1 C,219.98,107.85,46.29,64.44,53.66,36.02,735.41,107115.77,0.0,production,OP
46,NO 15/9-F-1 C,219.86,107.87,46.28,64.29,49.05,35.87,742.89,108079.03,93.31,production,OP
47,NO 15/9-F-1 C,219.92,107.88,46.24,64.17,54.69,35.75,746.54,108387.02,100.42,production,OP
48,NO 15/9-F-1 C,219.98,107.9,46.26,64.07,55.23,35.67,750.57,105809.71,101.01,production,OP
49,NO 15/9-F-1 C,219.97,107.92,46.27,63.93,55.1,35.53,727.26,106514.13,86.62,production,OP
50,NO 15/9-F-1 C,219.98,107.94,46.23,63.74,55.31,35.33,715.5,105800.29,91.08,production,OP
51,NO 15/9-F-1 C,219.27,107.44,46.22,63.55,55.51,35.16,695.01,102249.56,76.96,production,OP
52,NO 15/9-F-1 C,220.01,107.96,46.22,63.46,56.17,35.05,698.77,102823.5,77.13,production,OP
53,NO 15/9-F-1 C,220.0,107.97,46.23,63.34,55.85,34.92,704.08,103977.99,77.96,production,OP
54,NO 15/9-F-1 C,219.99,107.99,46.21,63.21,55.6,34.79,715.93,105761.32,78.99,production,OP
55,NO 15/9-F-1 C,220.01,107.99,46.26,63.14,55.96,34.73,724.21,107035.76,80.08,production,OP
56,NO 15/9-F-1 C,221.33,107.82,41.71,63.79,50.77,35.35,459.83,68263.31,46.21,production,OP
57,NO 15/9-F-1 C,220.24,107.96,46.19,62.37,53.05,33.95,715.1,104865.93,80.7,production,OP
58,NO 15/9-F-1 C,221.27,107.96,46.16,61.82,53.74,33.39,706.8,104234.1,79.73,production,OP
59,NO 15/9-F-1 C,221.04,107.97,47.04,62.29,54.24,33.84,677.29,99517.49,90.57,production,OP
60,NO 15/9-F-1 C,220.75,107.99,47.2,63.08,56.53,34.65,690.38,99850.49,92.18,production,OP
61,NO 15/9-F-1 C,220.64,107.99,47.19,63.36,56.62,34.93,694.3,100306.26,92.07,production,OP
62,NO 15/9-F-1 C,220.5,108.0,47.15,63.32,52.05,34.89,690.7,99959.04,91.25,production,OP
63,NO 15/9-F-1 C,221.45,107.76,38.98,62.34,53.56,34.67,238.45,34915.85,28.15,production,OP
64,NO 15/9-F-1 C,220.85,107.99,46.51,62.78,54.49,34.35,647.11,95262.3,84.88,production,OP
65,NO 15/9-F-1 C,218.41,108.07,47.82,61.73,54.3,33.31,745.92,108793.22,94.23,production,OP
66,NO 15/9-F-1 C,215.5,108.14,48.73,59.94,61.56,31.53,804.85,116554.82,101.88,production,OP
67,NO 15/9-F-1 C,214.82,108.14,48.26,60.14,62.33,31.74,818.89,120308.03,56.75,production,OP
68,NO 15/9-F-1 C,215.83,108.1,48.01,60.23,59.58,31.84,781.21,115374.09,54.32,production,OP
69,NO 15/9-F-1 C,214.88,108.11,48.04,59.92,60.77,31.54,786.16,116058.03,54.55,production,OP
70,NO 15/9-F-1 C,215.38,108.09,47.74,60.05,59.44,31.67,757.43,111152.61,51.84,production,OP
71,NO 15/9-F-1 C,216.12,108.07,47.62,60.14,58.61,31.76,726.5,107050.89,50.67,production,OP
72,NO 15/9-F-1 C,215.98,108.07,47.64,59.79,58.66,31.4,723.96,106456.63,51.3,production,OP
73,NO 15/9-F-1 C,215.82,108.07,47.61,59.44,57.55,31.05,715.28,105827.77,52.96,production,OP
74,NO 15/9-F-1 C,215.58,108.07,47.59,59.09,58.45,30.7,710.62,104860.95,50.87,production,OP
75,NO 15/9-F-1 C,215.3,108.08,47.61,58.7,58.7,30.31,708.04,104155.82,50.48,production,OP
76,NO 15/9-F-1 C,214.95,108.08,47.62,58.24,58.42,29.85,702.73,102417.8,51.7,production,OP
77,NO 15/9-F-1 C,214.86,108.09,47.66,57.46,57.88,28.78,695.74,102284.59,51.69,production,OP
78,NO 15/9-F-1 C,214.9,108.08,47.63,56.91,57.35,28.52,658.27,96651.98,94.65,production,OP
79,NO 15/9-F-1 C,214.82,108.08,46.57,56.88,58.01,28.48,576.35,85082.22,79.35,production,OP
80,NO 15/9-F-1 C,219.56,107.45,44.0,60.98,49.15,35.12,369.83,55419.55,51.46,production,OP
81,NO 15/9-F-1 C,217.25,107.63,44.38,54.46,50.51,26.03,418.45,63214.18,59.2,production,OP
82,NO 15/9-F-1 C,215.09,108.08,47.05,54.33,55.69,25.9,588.96,88192.51,91.66,production,OP
83,NO 15/9-F-1 C,215.26,108.1,46.83,55.06,55.97,26.65,571.88,85616.39,81.73,production,OP
84,NO 15/9-F-1 C,215.35,108.11,45.83,55.14,56.01,26.73,512.52,76979.08,71.37,production,OP
85,NO 15/9-F-1 C,215.38,108.11,46.79,54.97,56.25,26.56,563.26,84307.54,78.69,production,OP
