,DATEPRD,WELL_BORE_CODE,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
0,7-Apr-14,NO 15/9-F-1 C,0,0,0,0,0,0,0,0.00,0.00,0
1,8-Apr-14,NO 15/9-F-1 C,,,,1.00306,0,0,0,0.00,0.00,0
2,9-Apr-14,NO 15/9-F-1 C,,,,0.97901,0,0,0,0.00,0.00,0
3,10-Apr-14,NO 15/9-F-1 C,,,,0.54576,0,0,0,0.00,0.00,0
4,11-Apr-14,NO 15/9-F-1 C,310.376,96.876,277.278,1.21599,33.098,10.48,33.072,0.00,0.00,0
5,12-Apr-14,NO 15/9-F-1 C,303.501,96.923,281.447,3.08702,22.053,8.704,22.053,0.00,0.00,0
6,13-Apr-14,NO 15/9-F-1 C,303.535,96.959,276.032,1.96237,27.503,9.423,16.163,0.00,0.00,0
7,14-Apr-14,NO 15/9-F-1 C,303.782,96.969,282.787,0,20.996,8.131,20.737,0.00,0.00,0
8,15-Apr-14,NO 15/9-F-1 C,303.858,97.021,289.941,31.14186,13.918,8.498,12.182,0.00,0.00,0
9,16-Apr-14,NO 15/9-F-1 C,303.792,97.066,299.672,0,4.12,8.821,1.49,0.00,0.00,0
10,17-Apr-14,NO 15/9-F-1 C,304.335,96.919,282.901,41.23599,21.434,8.854,18.795,0.00,0.00,0
11,18-Apr-14,NO 15/9-F-1 C,304.849,96.72,273.701,0,31.148,9.64,28.503,0.00,0.00,0
12,19-Apr-14,NO 15/9-F-1 C,305.371,96.616,259.62,0.43686,45.752,9.639,43.157,0.00,0.00,0
13,20-Apr-14,NO 15/9-F-1 C,313.871,96.56,282.814,0.45428,31.056,9.62,28.484,0.00,0.00,0
14,21-Apr-14,NO 15/9-F-1 C,301.376,102.676,204.795,20.98975,96.58,19.197,69.776,0.00,0.00,0
15,22-Apr-14,NO 15/9-F-1 C,289.421,106.353,182.059,43.34345,107.362,37.939,78.935,631.00,90439.00,0
16,23-Apr-14,NO 15/9-F-1 C,270.24,107.644,171.053,47.16752,99.187,60.757,70.627,1166.00,165720.00,0
17,24-Apr-14,NO 15/9-F-1 C,262.843,107.869,168.242,47.73231,94.601,63.047,66.049,1550.00,221707.00,0
18,25-Apr-14,NO 15/9-F-1 C,255.527,107.971,165.539,48.53377,89.988,64.547,61.405,1249.00,178064.00,0
19,26-Apr-14,NO 15/9-F-1 C,247.199,108.052,162.422,49.8445,84.777,65.724,56.148,1346.00,192602.00,0
20,27-Apr-14,NO 15/9-F-1 C,240.736,108.054,159.899,50.29698,80.837,66.934,52.202,1350.00,194496.00,0
21,28-Apr-14,NO 15/9-F-1 C,235.021,108.042,157.683,50.73588,77.338,67.848,48.708,1346.00,192900.00,0
22,29-Apr-14,NO 15/9-F-1 C,232.744,107.988,156.795,50.11392,75.949,65.707,47.376,1279.00,184900.00,0
23,30-Apr-14,NO 15/9-F-1 C,233.298,107.893,157.179,48.92679,76.118,62.796,47.611,1226.00,177108.00,0
24,1-May-14,NO 15/9-F-1 C,231.089,107.877,156.399,48.93863,74.69,62.377,46.196,1213.00,174609.00,0
25,2-May-14,NO 15/9-F-1 C,231.419,107.817,156.69,48.3037,74.729,60.747,46.15,1074.00,154871.00,0
26,3-May-14,NO 15/9-F-1 C,230.766,107.795,156.606,48.1735,74.16,60.628,45.733,1044.00,147930.00,0
27,4-May-14,NO 15/9-F-1 C,230.596,107.764,156.688,47.46609,73.908,58.279,45.491,970.00,139378.00,0
28,5-May-14,NO 15/9-F-1 C,229.424,107.78,156.429,47.84002,72.994,54.905,44.549,946.00,136980.00,0
29,6-May-14,NO 15/9-F-1 C,225.902,107.86,154.951,49.00558,70.952,58.883,42.45,1003.00,144950.00,0
30,7-May-14,NO 15/9-F-1 C,225.768,107.838,155.059,47.9204,70.71,57.426,42.049,925.00,135000.00,0
31,8-May-14,NO 15/9-F-1 C,225.687,107.821,155.142,47.29695,70.545,57.656,41.159,914.00,127565.00,0
32,9-May-14,NO 15/9-F-1 C,227.798,107.599,156.852,29.13359,70.946,55.955,41.745,177.00,24323.00,0
33,10-May-14,NO 15/9-F-1 C,226.061,107.684,155.165,48.13438,70.896,57.374,41.905,944.00,52163.00,0
34,11-May-14,NO 15/9-F-1 C,225.097,107.836,155.162,47.49389,69.935,58.024,41.483,823.00,117732.00,0
35,12-May-14,NO 15/9-F-1 C,226.023,107.772,155.797,46.93359,70.226,56.885,41.807,769.00,111238.00,0
36,13-May-14,NO 15/9-F-1 C,226.905,107.717,156.577,46.3352,70.328,54.255,41.926,741.00,107144.00,0
37,14-May-14,NO 15/9-F-1 C,225.576,107.741,156.204,45.16209,69.372,54.995,40.981,713.00,102881.00,0
38,15-May-14,NO 15/9-F-1 C,225.893,107.709,156.826,46.31644,69.067,48.598,40.651,744.00,106745.00,0
39,16-May-14,NO 15/9-F-1 C,225.701,107.71,157.108,46.34614,68.593,48.378,40.138,736.00,104864.00,0
40,17-May-14,NO 15/9-F-1 C,223.603,107.778,156.346,47.08721,67.256,53.921,38.84,783.00,110078.00,0
41,18-May-14,NO 15/9-F-1 C,220.102,107.889,154.695,47.76981,65.407,53.832,36.99,835.00,117388.00,0
42,19-May-14,NO 15/9-F-1 C,220.49,107.86,155.176,47.13595,65.314,55.754,36.906,789.00,109517.00,0
43,20-May-14,NO 15/9-F-1 C,220.154,107.859,155.238,47.14247,64.916,55.628,36.509,783.00,109362.00,0
44,21-May-14,NO 15/9-F-1 C,220.066,107.851,155.375,46.52459,64.691,52.236,36.281,744.00,104993.00,0
45,22-May-14,NO 15/9-F-1 C,219.983,107.852,155.547,46.289,64.436,53.661,36.019,735.00,107116.00,0
46,23-May-14,NO 15/9-F-1 C,219.863,107.867,155.572,46.28423,64.291,49.053,35.873,743.00,108079.00,93
47,24-May-14,NO 15/9-F-1 C,219.923,107.883,155.753,46.24216,64.17,54.691,35.751,747.00,108387.00,100
48,25-May-14,NO 15/9-F-1 C,219.977,107.903,155.904,46.26168,64.073,55.231,35.671,751.00,105810.00,101
49,26-May-14,NO 15/9-F-1 C,219.974,107.921,156.043,46.26511,63.93,55.103,35.529,727.00,106514.00,87
50,27-May-14,NO 15/9-F-1 C,219.98,107.936,156.243,46.22633,63.737,55.311,35.335,716.00,105800.00,91
51,28-May-14,NO 15/9-F-1 C,219.267,107.445,155.716,46.215,63.551,55.508,35.155,695.00,102250.00,77
52,29-May-14,NO 15/9-F-1 C,220.007,107.962,156.549,46.21506,63.458,56.171,35.052,699.00,102824.00,77
53,30-May-14,NO 15/9-F-1 C,220,107.974,156.665,46.23157,63.335,55.852,34.924,704.00,103978.00,78
54,31-May-14,NO 15/9-F-1 C,219.994,107.985,156.783,46.2074,63.21,55.596,34.793,716.00,105761.00,79
55,1-Jun-14,NO 15/9-F-1 C,220.006,107.994,156.864,46.26479,63.142,55.963,34.726,724.00,107036.00,80
56,2-Jun-14,NO 15/9-F-1 C,221.328,107.825,157.538,41.7134,63.79,50.774,35.352,460.00,68263.00,46
57,3-Jun-14,NO 15/9-F-1 C,220.24,107.965,157.868,46.19319,62.373,53.047,33.947,715.00,104866.00,81
58,4-Jun-14,NO 15/9-F-1 C,221.268,107.961,159.451,46.15731,61.817,53.736,33.387,707.00,104234.00,80
59,5-Jun-14,NO 15/9-F-1 C,221.045,107.973,158.758,47.04157,62.286,54.245,33.842,677.00,99517.00,91
60,6-Jun-14,NO 15/9-F-1 C,220.75,107.987,157.674,47.2027,63.076,56.534,34.646,690.00,99850.00,92
61,7-Jun-14,NO 15/9-F-1 C,220.64,107.994,157.278,47.19411,63.362,56.615,34.934,694.00,100306.00,92
62,8-Jun-14,NO 15/9-F-1 C,220.504,108.003,157.185,47.15202,63.319,52.051,34.892,691.00,99959.00,91
63,9-Jun-14,NO 15/9-F-1 C,221.451,107.757,159.113,38.97891,62.337,53.559,34.67,238.00,34916.00,28
64,10-Jun-14,NO 15/9-F-1 C,220.852,107.991,158.075,46.51253,62.777,54.486,34.352,647.00,95262.00,85
65,11-Jun-14,NO 15/9-F-1 C,218.415,108.065,156.685,47.81521,61.73,54.295,33.314,746.00,108793.00,94
66,12-Jun-14,NO 15/9-F-1 C,215.497,108.139,155.559,48.72777,59.938,61.561,31.529,805.00,116555.00,102
67,13-Jun-14,NO 15/9-F-1 C,214.823,108.135,154.685,48.26392,60.138,62.327,31.739,819.00,120308.00,57
68,14-Jun-14,NO 15/9-F-1 C,215.833,108.105,155.598,48.00591,60.235,59.584,31.836,781.00,115374.00,54
69,15-Jun-14,NO 15/9-F-1 C,214.877,108.114,154.958,48.04032,59.92,60.774,31.544,786.00,116058.00,55
70,16-Jun-14,NO 15/9-F-1 C,215.381,108.088,155.333,47.74037,60.048,59.445,31.671,757.00,111153.00,52
71,17-Jun-14,NO 15/9-F-1 C,216.119,108.067,155.978,47.62397,60.14,58.607,31.763,727.00,107051.00,51
72,18-Jun-14,NO 15/9-F-1 C,215.984,108.066,156.197,47.63986,59.787,58.662,31.4,724.00,106457.00,51
73,19-Jun-14,NO 15/9-F-1 C,215.818,108.066,156.378,47.60717,59.44,57.55,31.053,715.00,105828.00,53
74,20-Jun-14,NO 15/9-F-1 C,215.579,108.073,156.488,47.58517,59.091,58.446,30.704,711.00,104861.00,51
75,21-Jun-14,NO 15/9-F-1 C,215.304,108.079,156.599,47.6112,58.705,58.703,30.313,708.00,104156.00,50
76,22-Jun-14,NO 15/9-F-1 C,214.949,108.085,156.713,47.61982,58.236,58.418,29.846,703.00,102418.00,52
77,23-Jun-14,NO 15/9-F-1 C,214.858,108.087,157.394,47.65973,57.464,57.883,28.78,696.00,102285.00,52
78,24-Jun-14,NO 15/9-F-1 C,214.897,108.08,157.989,47.62792,56.908,57.35,28.519,658.00,96652.00,95
