,DATEPRD,WELL_BORE_CODE,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,WELL_POS
46,5/23/2014,NO 15/9-F-1 C,219.86,107.87,155.57,0.0,46.28,64.29,49.05,35.87,742.89,108079.03,93.31,Flank
47,5/24/2014,NO 15/9-F-1 C,219.92,107.88,155.75,0.0,46.24,64.17,54.69,35.75,746.54,108387.02,100.42,Flank
48,5/25/2014,NO 15/9-F-1 C,219.98,107.9,155.9,0.0,46.26,64.07,55.23,35.67,750.57,105809.71,101.01,Flank
49,5/26/2014,NO 15/9-F-1 C,219.97,107.92,156.04,0.0,46.27,63.93,55.1,35.53,727.26,106514.13,86.62,Flank
50,5/27/2014,NO 15/9-F-1 C,219.98,107.94,156.24,0.0,46.23,63.74,55.31,35.33,715.5,105800.29,91.08,Flank
51,5/28/2014,NO 15/9-F-1 C,219.27,107.45,155.72,0.0,46.22,63.55,55.51,35.16,695.01,102249.56,76.96,Flank
52,5/29/2014,NO 15/9-F-1 C,220.01,107.96,156.55,0.0,46.22,63.46,56.17,35.05,698.77,102823.5,77.13,Flank
53,5/30/2014,NO 15/9-F-1 C,220.0,107.97,156.66,0.0,46.23,63.34,55.85,34.92,704.08,103977.99,77.96,Flank
54,5/31/2014,NO 15/9-F-1 C,219.99,107.99,156.78,0.0,46.21,63.21,55.6,34.79,715.93,105761.32,78.99,Flank
55,6/1/2014,NO 15/9-F-1 C,220.01,107.99,156.86,0.0,46.26,63.14,55.96,34.73,724.21,107035.76,80.08,Flank
56,6/2/2014,NO 15/9-F-1 C,221.33,107.83,157.54,0.0,41.71,63.79,50.77,35.35,459.83,68263.31,46.21,Flank
57,6/3/2014,NO 15/9-F-1 C,220.24,107.97,157.87,0.0,46.19,62.37,53.05,33.95,715.1,104865.93,80.7,Flank
58,6/4/2014,NO 15/9-F-1 C,221.27,107.96,159.45,0.0,46.16,61.82,53.74,33.39,706.8,104234.1,79.73,Flank
59,6/5/2014,NO 15/9-F-1 C,221.05,107.97,158.76,0.0,47.04,62.29,54.24,33.84,677.29,99517.49,90.57,Flank
