DATEPRD,WELL_BORE_CODE,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
4/7/2014,NO 15/9-F-1 C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4/8/2014,NO 15/9-F-1 C,,,,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
4/9/2014,NO 15/9-F-1 C,,,,0.00,0.98,0.00,0.00,0.00,0.00,0.00,0.00
4/10/2014,NO 15/9-F-1 C,,,,0.00,0.55,0.00,0.00,0.00,0.00,0.00,0.00
4/11/2014,NO 15/9-F-1 C,310.38,96.88,277.28,0.00,1.22,33.10,10.48,33.07,0.00,0.00,0.00
4/12/2014,NO 15/9-F-1 C,303.50,96.92,281.45,0.00,3.09,22.05,8.70,22.05,0.00,0.00,0.00
4/13/2014,NO 15/9-F-1 C,303.54,96.96,276.03,0.00,1.96,27.50,9.42,16.16,0.00,0.00,0.00
4/14/2014,NO 15/9-F-1 C,303.78,96.97,282.79,0.00,0.00,21.00,8.13,20.74,0.00,0.00,0.00
4/15/2014,NO 15/9-F-1 C,303.86,97.02,289.94,0.00,31.14,13.92,8.50,12.18,0.00,0.00,0.00
4/16/2014,NO 15/9-F-1 C,303.79,97.07,299.67,0.00,0.00,4.12,8.82,1.49,0.00,0.00,0.00
4/17/2014,NO 15/9-F-1 C,304.34,96.92,282.90,0.00,41.24,21.43,8.85,18.79,0.00,0.00,0.00
4/18/2014,NO 15/9-F-1 C,304.85,96.72,273.70,0.00,0.00,31.15,9.64,28.50,0.00,0.00,0.00
4/19/2014,NO 15/9-F-1 C,305.37,96.62,259.62,0.00,0.44,45.75,9.64,43.16,0.00,0.00,0.00
4/20/2014,NO 15/9-F-1 C,313.87,96.56,282.81,0.00,0.45,31.06,9.62,28.48,0.00,0.00,0.00
4/21/2014,NO 15/9-F-1 C,301.38,102.68,204.80,0.00,20.99,96.58,19.20,69.78,0.00,0.00,0.00
4/22/2014,NO 15/9-F-1 C,289.42,106.35,182.06,0.00,43.34,107.36,37.94,78.94,631.47,90439.09,0.00
4/23/2014,NO 15/9-F-1 C,270.24,107.64,171.05,,47.17,99.19,60.76,70.63,1166.46,165720.39,0.00
4/24/2014,NO 15/9-F-1 C,262.84,107.87,168.24,,47.73,94.60,63.05,66.05,1549.81,221707.31,0.00
4/25/2014,NO 15/9-F-1 C,255.53,107.97,165.54,,48.53,89.99,64.55,61.41,1248.70,178063.52,0.00
4/26/2014,NO 15/9-F-1 C,247.20,108.05,162.42,,49.84,84.78,65.72,56.15,1345.78,192602.19,0.00
4/27/2014,NO 15/9-F-1 C,240.74,108.05,159.90,,50.30,80.84,66.93,52.20,1349.56,194496.27,0.00
4/28/2014,NO 15/9-F-1 C,235.02,108.04,157.68,,50.74,77.34,67.85,48.71,1345.61,192899.71,0.00
4/29/2014,NO 15/9-F-1 C,232.74,107.99,156.79,,50.11,75.95,65.71,47.38,1279.46,184900.31,0.00
4/30/2014,NO 15/9-F-1 C,233.30,107.89,157.18,,48.93,76.12,62.80,47.61,1225.62,177107.86,0.00
5/1/2014,NO 15/9-F-1 C,231.09,107.88,156.40,,48.94,74.69,62.38,46.20,1212.90,174608.88,0.00
5/2/2014,NO 15/9-F-1 C,231.42,107.82,156.69,,48.30,74.73,60.75,46.15,1074.04,154870.67,0.00
5/3/2014,NO 15/9-F-1 C,230.77,107.80,156.61,,48.17,74.16,60.63,45.73,1044.17,147929.93,0.00
5/4/2014,NO 15/9-F-1 C,230.60,107.76,156.69,,47.47,73.91,58.28,45.49,970.20,139378.45,0.00
5/5/2014,NO 15/9-F-1 C,229.42,107.78,156.43,,47.84,72.99,54.90,44.55,946.12,136980.49,0.00
5/6/2014,NO 15/9-F-1 C,225.90,107.86,154.95,,49.01,70.95,58.88,42.45,1002.83,144950.15,0.00
5/7/2014,NO 15/9-F-1 C,225.77,107.84,155.06,,47.92,70.71,57.43,42.05,925.31,135000.24,0.00
