DATEPRD,WELL_BORE_CODE,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
07-Apr-14,NO 15/9-F-1 C,0.000,0.000,0.000,0.00000,0.000,0.000,0.000,0,0,0
08-Apr-14,NO 15/9-F-1 C,,,,1.00306,0.000,0.000,0.000,0,0,0
09-Apr-14,NO 15/9-F-1 C,,,,0.97901,0.000,0.000,0.000,0,0,0
10-Apr-14,NO 15/9-F-1 C,,,,0.54576,0.000,0.000,0.000,0,0,0
11-Apr-14,NO 15/9-F-1 C,310.376,96.876,277.278,1.21599,33.098,10.480,33.072,0,0,0
12-Apr-14,NO 15/9-F-1 C,303.501,96.923,281.447,3.08702,22.053,8.704,22.053,0,0,0
13-Apr-14,NO 15/9-F-1 C,303.535,96.959,276.032,1.96237,27.503,9.423,16.163,0,0,0
14-Apr-14,NO 15/9-F-1 C,303.782,96.969,282.787,0.00000,20.996,8.131,20.737,0,0,0
15-Apr-14,NO 15/9-F-1 C,303.858,97.021,289.941,31.14186,13.918,8.498,12.182,0,0,0
16-Apr-14,NO 15/9-F-1 C,303.792,97.066,299.672,0.00000,4.120,8.821,1.490,0,0,0
17-Apr-14,NO 15/9-F-1 C,304.335,96.919,282.901,41.23599,21.434,8.854,18.795,0,0,0
18-Apr-14,NO 15/9-F-1 C,304.849,96.720,273.701,0.00000,31.148,9.640,28.503,0,0,0
19-Apr-14,NO 15/9-F-1 C,305.371,96.616,259.620,0.43686,45.752,9.639,43.157,0,0,0
20-Apr-14,NO 15/9-F-1 C,313.871,96.560,282.814,0.45428,31.056,9.620,28.484,0,0,0
21-Apr-14,NO 15/9-F-1 C,301.376,102.676,204.795,20.98975,96.580,19.197,69.776,0,0,0
22-Apr-14,NO 15/9-F-1 C,289.421,106.353,182.059,43.34345,107.362,37.939,78.935,631,"90,439",0
23-Apr-14,NO 15/9-F-1 C,270.240,107.644,171.053,47.16752,99.187,60.757,70.627,"1,166","165,720",0
24-Apr-14,NO 15/9-F-1 C,262.843,107.869,168.242,47.73231,94.601,63.047,66.049,"1,550","221,707",0
25-Apr-14,NO 15/9-F-1 C,255.527,107.971,165.539,48.53377,89.988,64.547,61.405,"1,249","178,064",0
26-Apr-14,NO 15/9-F-1 C,247.199,108.052,162.422,49.84450,84.777,65.724,56.148,"1,346","192,602",0
27-Apr-14,NO 15/9-F-1 C,240.736,108.054,159.899,50.29698,80.837,66.934,52.202,"1,350","194,496",0
28-Apr-14,NO 15/9-F-1 C,235.021,108.042,157.683,50.73588,77.338,67.848,48.708,"1,346","192,900",0
29-Apr-14,NO 15/9-F-1 C,232.744,107.988,156.795,50.11392,75.949,65.707,47.376,"1,279","184,900",0
30-Apr-14,NO 15/9-F-1 C,233.298,107.893,157.179,48.92679,76.118,62.796,47.611,"1,226","177,108",0
01-May-14,NO 15/9-F-1 C,231.089,107.877,156.399,48.93863,74.690,62.377,46.196,"1,213","174,609",0
02-May-14,NO 15/9-F-1 C,231.419,107.817,156.690,48.30370,74.729,60.747,46.150,"1,074","154,871",0
03-May-14,NO 15/9-F-1 C,230.766,107.795,156.606,48.17350,74.160,60.628,45.733,"1,044","147,930",0
04-May-14,NO 15/9-F-1 C,230.596,107.764,156.688,47.46609,73.908,58.279,45.491,970,"139,378",0
05-May-14,NO 15/9-F-1 C,229.424,107.780,156.429,47.84002,72.994,54.905,44.549,946,"136,980",0
06-May-14,NO 15/9-F-1 C,225.902,107.860,154.951,49.00558,70.952,58.883,42.450,"1,003","144,950",0
07-May-14,NO 15/9-F-1 C,225.768,107.838,155.059,47.92040,70.710,57.426,42.049,925,"135,000",0
08-May-14,NO 15/9-F-1 C,225.687,107.821,155.142,47.29695,70.545,57.656,41.159,914,"127,565",0
09-May-14,NO 15/9-F-1 C,227.798,107.599,156.852,29.13359,70.946,55.955,41.745,177,"24,323",0
10-May-14,NO 15/9-F-1 C,226.061,107.684,155.165,48.13438,70.896,57.374,41.905,944,"52,163",0
11-May-14,NO 15/9-F-1 C,225.097,107.836,155.162,47.49389,69.935,58.024,41.483,823,"117,732",0
12-May-14,NO 15/9-F-1 C,226.023,107.772,155.797,46.93359,70.226,56.885,41.807,769,"111,238",0
13-May-14,NO 15/9-F-1 C,226.905,107.717,156.577,46.33520,70.328,54.255,41.926,741,"107,144",0
14-May-14,NO 15/9-F-1 C,225.576,107.741,156.204,45.16209,69.372,54.995,40.981,713,"102,881",0
15-May-14,NO 15/9-F-1 C,225.893,107.709,156.826,46.31644,69.067,48.598,40.651,744,"106,745",0
16-May-14,NO 15/9-F-1 C,225.701,107.710,157.108,46.34614,68.593,48.378,40.138,736,"104,864",0
17-May-14,NO 15/9-F-1 C,223.603,107.778,156.346,47.08721,67.256,53.921,38.840,783,"110,078",0
18-May-14,NO 15/9-F-1 C,220.102,107.889,154.695,47.76981,65.407,53.832,36.990,835,"117,388",0
19-May-14,NO 15/9-F-1 C,220.490,107.860,155.176,47.13595,65.314,55.754,36.906,789,"109,517",0
20-May-14,NO 15/9-F-1 C,220.154,107.859,155.238,47.14247,64.916,55.628,36.509,783,"109,362",0
21-May-14,NO 15/9-F-1 C,220.066,107.851,155.375,46.52459,64.691,52.236,36.281,744,"104,993",0
22-May-14,NO 15/9-F-1 C,219.983,107.852,155.547,46.28900,64.436,53.661,36.019,735,"107,116",0
23-May-14,NO 15/9-F-1 C,219.863,107.867,155.572,46.28423,64.291,49.053,35.873,743,"108,079",93
24-May-14,NO 15/9-F-1 C,219.923,107.883,155.753,46.24216,64.170,54.691,35.751,747,"108,387",100
25-May-14,NO 15/9-F-1 C,219.977,107.903,155.904,46.26168,64.073,55.231,35.671,751,"105,810",101
26-May-14,NO 15/9-F-1 C,219.974,107.921,156.043,46.26511,63.930,55.103,35.529,727,"106,514",87
27-May-14,NO 15/9-F-1 C,219.980,107.936,156.243,46.22633,63.737,55.311,35.335,716,"105,800",91
28-May-14,NO 15/9-F-1 C,219.267,107.445,155.716,46.21500,63.551,55.508,35.155,695,"102,250",77
29-May-14,NO 15/9-F-1 C,220.007,107.962,156.549,46.21506,63.458,56.171,35.052,699,"102,824",77
30-May-14,NO 15/9-F-1 C,220.000,107.974,156.665,46.23157,63.335,55.852,34.924,704,"103,978",78
31-May-14,NO 15/9-F-1 C,219.994,107.985,156.783,46.20740,63.210,55.596,34.793,716,"105,761",79
01-Jun-14,NO 15/9-F-1 C,220.006,107.994,156.864,46.26479,63.142,55.963,34.726,724,"107,036",80
02-Jun-14,NO 15/9-F-1 C,221.328,107.825,157.538,41.71340,63.790,50.774,35.352,460,"68,263",46
03-Jun-14,NO 15/9-F-1 C,220.240,107.965,157.868,46.19319,62.373,53.047,33.947,715,"104,866",81
04-Jun-14,NO 15/9-F-1 C,221.268,107.961,159.451,46.15731,61.817,53.736,33.387,707,"104,234",80
05-Jun-14,NO 15/9-F-1 C,221.045,107.973,158.758,47.04157,62.286,54.245,33.842,677,"99,517",91
06-Jun-14,NO 15/9-F-1 C,220.750,107.987,157.674,47.20270,63.076,56.534,34.646,690,"99,850",92
07-Jun-14,NO 15/9-F-1 C,220.640,107.994,157.278,47.19411,63.362,56.615,34.934,694,"100,306",92
08-Jun-14,NO 15/9-F-1 C,220.504,108.003,157.185,47.15202,63.319,52.051,34.892,691,"99,959",91
09-Jun-14,NO 15/9-F-1 C,221.451,107.757,159.113,38.97891,62.337,53.559,34.670,238,"34,916",28
10-Jun-14,NO 15/9-F-1 C,220.852,107.991,158.075,46.51253,62.777,54.486,34.352,647,"95,262",85
11-Jun-14,NO 15/9-F-1 C,218.415,108.065,156.685,47.81521,61.730,54.295,33.314,746,"108,793",94
12-Jun-14,NO 15/9-F-1 C,215.497,108.139,155.559,48.72777,59.938,61.561,31.529,805,"116,555",102
13-Jun-14,NO 15/9-F-1 C,214.823,108.135,154.685,48.26392,60.138,62.327,31.739,819,"120,308",57
14-Jun-14,NO 15/9-F-1 C,215.833,108.105,155.598,48.00591,60.235,59.584,31.836,781,"115,374",54
15-Jun-14,NO 15/9-F-1 C,214.877,108.114,154.958,48.04032,59.920,60.774,31.544,786,"116,058",55
16-Jun-14,NO 15/9-F-1 C,215.381,108.088,155.333,47.74037,60.048,59.445,31.671,757,"111,153",52
17-Jun-14,NO 15/9-F-1 C,216.119,108.067,155.978,47.62397,60.140,58.607,31.763,727,"107,051",51
18-Jun-14,NO 15/9-F-1 C,215.984,108.066,156.197,47.63986,59.787,58.662,31.400,724,"106,457",51
19-Jun-14,NO 15/9-F-1 C,215.818,108.066,156.378,47.60717,59.440,57.550,31.053,715,"105,828",53
20-Jun-14,NO 15/9-F-1 C,215.579,108.073,156.488,47.58517,59.091,58.446,30.704,711,"104,861",51
21-Jun-14,NO 15/9-F-1 C,215.304,108.079,156.599,47.61120,58.705,58.703,30.313,708,"104,156",50
22-Jun-14,NO 15/9-F-1 C,214.949,108.085,156.713,47.61982,58.236,58.418,29.846,703,"102,418",52
23-Jun-14,NO 15/9-F-1 C,214.858,108.087,157.394,47.65973,57.464,57.883,28.780,696,"102,285",52
24-Jun-14,NO 15/9-F-1 C,214.897,108.080,157.989,47.62792,56.908,57.350,28.519,658,"96,652",95
25-Jun-14,NO 15/9-F-1 C,214.822,108.084,157.947,46.56755,56.875,58.007,28.477,576,"85,082",79
26-Jun-14,NO 15/9-F-1 C,219.559,107.447,158.581,44.00000,60.978,49.152,35.123,370,"55,420",51
27-Jun-14,NO 15/9-F-1 C,217.252,107.635,162.789,44.37510,54.462,50.511,26.032,418,"63,214",59
28-Jun-14,NO 15/9-F-1 C,215.093,108.078,160.766,47.05341,54.327,55.688,25.903,589,"88,193",92
29-Jun-14,NO 15/9-F-1 C,215.259,108.099,160.197,46.83166,55.062,55.970,26.646,572,"85,616",82
30-Jun-14,NO 15/9-F-1 C,215.351,108.108,160.212,45.82783,55.139,56.006,26.727,513,"76,979",71
01-Jul-14,NO 15/9-F-1 C,215.385,108.114,160.417,46.78696,54.967,56.254,26.555,563,"84,308",79
02-Jul-14,NO 15/9-F-1 C,215.407,108.119,160.599,46.79973,54.808,51.652,26.390,564,"84,365",79
03-Jul-14,NO 15/9-F-1 C,215.332,108.124,160.782,46.80369,54.551,50.821,26.132,565,"84,351",79
04-Jul-14,NO 15/9-F-1 C,215.211,108.129,161.101,46.84702,54.111,51.418,25.676,564,"84,183",80
